camp,latitude,longitude
Westerbork,52,6
Natzweiler-Struthof,48.45,7.25
Buchenwald,51.02,11.24
Dachau,48.27,11.46
Neuengamme,53.43,10.22
Mittelbau-Dora,51.32,10.44
Ravensbruck,53.18,13.16
Sachsenhausen,52.76,13.26
Theresienstadt,50.51,14.16
Mauthausen-Gusen,48.25,14.5
Flossenburg,49.44,12.21
Stutthof,54.19,19.09
Belzec,50.22,23.25
Janowska,49.51,23.59
Amersfoort,52.7,5.21
Arbeitsdorf,51.02,11.24
Banjica,44.46,20.28
Bardufoss,69.03,18.3
Berlin-Marzahn,52.33,13.32
Bogdanovka,47.48,31.09
Bredtvet,59.94,10.85
Breendonk,51.05,4.3
Breitenau,51.2,9.47
Crveni Krst,43.33,21.88
Drancy,48.55,2.27
Falstad,63.41,11.02
Fort de Romainville,48.53,2.25
Fossoli,44.49,10.53
Grini,59.57,10.34
Gross-Rosen,50.59,16.16
Herzogenbusch,51.39,5.15
Hinzert,49.69,6.89
JŠgala,59.28,25.14
Kaiserwald,56.59,24.07
Kaufering,48.07,10.5
Kistarcsa,47.32,19.15
Klooga,59.19,24.12
Vernet,43.11,1.36
Malchow,53.27,12.24
Mechelen,51.02,4.28
Niederhagen,51.36,8.39
Plaszow,50.01,19.58
Salaspils,56.51,24.21
Soldau,53.15,20.09
Syrets,50.28,30.26
Theresienstadt,50.51,14.16
Vaivara,59.22,27.45
Warsaw,52.14,20.59